3826700 DEBUG [2019-06-30 09:27:04]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@517620cd
3830096 DEBUG [2019-06-30 09:27:07]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@517620cd
3830097 DEBUG [2019-06-30 09:27:07]  DispatcherServlet with name 'dispatcherServlet' processing POST request for [/organization/company/likeSearch]
3830097 DEBUG [2019-06-30 09:27:07]  Looking up handler method for path /organization/company/likeSearch
3830097 DEBUG [2019-06-30 09:27:07]  Returning handler method [public java.util.Map<java.lang.String, java.lang.Object> com.ehr.controller.organization.company.CompanyController.likeSearch(java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer)]
3830097 DEBUG [2019-06-30 09:27:07]  Returning cached instance of singleton bean 'companyController'
3830097 DEBUG [2019-06-30 09:27:07]  Skip CORS processing: request is from same origin
3830099 DEBUG [2019-06-30 09:27:07]  Fetching JDBC Connection from DataSource
3830104 DEBUG [2019-06-30 09:27:07]  Fetching JDBC Connection from DataSource
3830112 DEBUG [2019-06-30 09:27:07]  Written [{code=0, data=PageInfo{pageNum=1, pageSize=10, size=10, startRow=1, endRow=10, total=11, pages=2, list=Page{count=true, pageNum=1, pageSize=10, startRow=0, endRow=10, total=11, pages=2, reasonable=false, pageSizeZero=false}[Company{id=10, name='10暗', address='321', mark='3', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=11, name='11', address='1', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=12, name='12', address='2', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=13, name='13', address='3', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=14, name='14', address='4', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=15, name='15', address='5', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=16, name='16', address='6', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=17, name='17', address='7', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=18, name='18', address='8', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=19, name='19', address='9', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}], prePage=0, nextPage=2, isFirstPage=true, isLastPage=false, hasPreviousPage=false, hasNextPage=true, navigatePages=8, navigateFirstPage=1, navigateLastPage=2, navigatepageNums=[1, 2]}, count=PageInfo{pageNum=1, pageSize=10, size=10, startRow=1, endRow=10, total=11, pages=2, list=Page{count=true, pageNum=1, pageSize=10, startRow=0, endRow=10, total=11, pages=2, reasonable=false, pageSizeZero=false}[Company{id=10, name='10暗', address='321', mark='3', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=11, name='11', address='1', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=12, name='12', address='2', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=13, name='13', address='3', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=14, name='14', address='4', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=15, name='15', address='5', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=16, name='16', address='6', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=17, name='17', address='7', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=18, name='18', address='8', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=19, name='19', address='9', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}], prePage=0, nextPage=2, isFirstPage=true, isLastPage=false, hasPreviousPage=false, hasNextPage=true, navigatePages=8, navigateFirstPage=1, navigateLastPage=2, navigatepageNums=[1, 2]}}] as "application/json" using [org.springframework.http.converter.json.MappingJackson2HttpMessageConverter@6c9f8b46]
